date,sales_quantity
2018-08-13,1
2018-08-13,3
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,3
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,3
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,1
2018-08-13,2
2018-08-13,1
2018-08-13,1
2018-08-13,4
2018-08-13,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,2
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,2
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,2
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,3
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,2
2018-08-14,3
2018-08-14,2
2018-08-14,2
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
2018-08-14,1
